"World","Count"
"THE","1630"
"AND","843"
"TO","720"
"A","626"
"SHE","537"
"IT","524"
"OF","508"
"SAID","458"
"I","397"
"ALICE","385"
"IN","367"
"YOU","361"
"WAS","357"
"THAT","275"
"AS","261"
"HER","248"
"AT","210"
"ON","193"
"WITH","180"
"ALL","180"
"HAD","178"
"BUT","164"
"FOR","152"
"SO","148"
"BE","146"
"NOT","144"
"VERY","144"
"WHAT","136"
"THIS","132"
"LITTLE","127"
"THEY","127"
"HE","120"
"OUT","113"
"ITS","111"
"ONE","101"
"DOWN","101"
"IS","101"
"UP","98"
"HIS","96"
"IF","94"
"ABOUT","94"
"THEN","90"
"WERE","87"
"NO","87"
"LIKE","85"
"WENT","83"
"THEM","83"
"HERSELF","83"
"WOULD","83"
"KNOW","82"
"AGAIN","80"
"HAVE","80"
"DO","80"
"WHEN","79"
"COULD","77"
"OR","75"
"THERE","75"
"THOUGHT","74"
"OFF","72"
"ME","68"
"TIME","68"
"QUEEN","68"
"INTO","67"
"SEE","66"
"HOW","64"
"YOUR","62"
"DID","62"
"KING","61"
"WHO","61"
"DONT","60"
"*","60"
"MY","58"
"WELL","58"
"AN","57"
"IM","57"
"BEGAN","57"
"NOW","57"
"MOCK","56"
"TURTLE","56"
"BY","56"
"GRYPHON","55"
"QUITE","55"
"HATTER","55"
"ARE","53"
"THEIR","52"
"MUCH","51"
"SOME","51"
"JUST","51"
"THINK","50"
"SAY","50"
"GO","50"
"WAY","50"
"THING","49"
"ONLY","49"
"HERE","49"
"FIRST","49"
"WHICH","49"
"MORE","48"
"HEAD","47"
"GET","46"
